DEBUG 2024-12-11 11:54:51.669 UTC: 	 CRAB Client version: v3.241125
DEBUG 2024-12-11 11:54:51.669 UTC: 	 Running on: Linux lxplus951.cern.ch 5.14.0-503.14.1.el9_5.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Nov 7 15:41:49 EST 2024 x86_64 x86_64 x86_64 GNU/Linux
DEBUG 2024-12-11 11:54:51.669 UTC: 	 Not using Singularity
DEBUG 2024-12-11 11:54:51.670 UTC: 	 Operating System: Red Hat Enterprise Linux 9.5 (Plow)
DEBUG 2024-12-11 11:54:51.670 UTC: 	 Executing command: 'submit'
DEBUG 2024-12-11 11:54:51.672 UTC: 	 Found CRAB cache file /afs/cern.ch/user/j/joshin/.crab3
DEBUG 2024-12-11 11:54:51.672 UTC: 	 Will use CRAB plugin PRIVATEMC (i.e. will run an a MC generation job type).
DEBUG 2024-12-11 15:25:35.891 UTC: 	 CRAB Client version: v3.241125
DEBUG 2024-12-11 15:25:35.892 UTC: 	 Running on: Linux lxplus945.cern.ch 5.14.0-427.40.1.el9_4.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Oct 4 15:22:45 EDT 2024 x86_64 x86_64 x86_64 GNU/Linux
DEBUG 2024-12-11 15:25:35.892 UTC: 	 Not using Singularity
DEBUG 2024-12-11 15:25:35.892 UTC: 	 Operating System: Red Hat Enterprise Linux 9.5 (Plow)
DEBUG 2024-12-11 15:25:35.892 UTC: 	 Executing command: 'submit'
DEBUG 2024-12-11 15:25:35.892 UTC: 	 Found CRAB cache file /afs/cern.ch/user/j/joshin/.crab3
DEBUG 2024-12-11 15:25:35.892 UTC: 	 Will use CRAB plugin ANALYSIS (i.e. will run an analysis job type).
